"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
15008,2c0dbde9-56a5-41aa-9d24-ae1a46236662,Strusina,RatherSafe,"195,9144254923076"
15063,4ef4b9c0-c9af-4754-9051-c5818d26f06e,Grabówka,RatherSafe,"1184,436041596957"
15264,d7ebf9f0-c9d4-44d1-a96a-3c5a3cc17ae8,Zielone,RatherSafe,"996,2608134022773"
15264,d7ebf9f0-c9d4-44d1-a96a-3c5a3cc17ae8,Zielone,RatherSafe,"2399,060475483029"
15265,d7ebf9f0-c9d4-44d1-a96a-3c5a3cc17ae8,Zielone,RatherSafe,"1855,7565044901228"
15363,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,"1331,728083288893"
15363,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,"2777,1397899753556"
15364,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,"3529,294306458661"
15364,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,"2777,7438268456676"
15365,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,"2771,172665670842"
15365,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,"2766,026409092161"
15365,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,"2776,44785644841"
15483,ef533ac4-d6c6-46a7-83d1-b28c253df5c6,Legionów Henryka D¹browskiego,RatherSafe,"1138,6081612253868"
15483,d175ec4d-8d7e-449d-992f-e3718f835cf9,Jasna,RatherSafe,"1622,5674996703144"
15717,b5bf5edd-207a-4468-8e8c-2073079a9739,Westerplatte,RatherSafe,"1555,0350069588133"
15824,b48ddfc6-09d8-4322-a93c-04b11a33b323,Koszyce,RatherSafe,"1505,0042816630073"
15846,21acc65d-957b-4da1-ace1-8d00818f517d,Grabówka,RatherSafe,"1662,529682360558"
16155,b6a099b7-fe49-4065-8ed2-2a0ca0b12d5e,Zielone,RatherSafe,"2130,8911828047026"
16177,5b855bc0-fd54-4b1c-9890-cf35d76f3684,Krakowska,RatherSafe,"1090,286169127247"
16360,a6a941f6-5d61-4017-80dc-d319e1228e6a,Grabówka,RatherSafe,"679,3657611190384"
16534,911c2d15-f3d8-4fd2-8466-6080e4b2dcd9,Westerplatte,RatherSafe,"1135,322208476388"
16578,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,"502,54438358472373"
16579,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,"953,4022801860041"
16590,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,"1506,5774922060996"
16591,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,"1728,5645277565156"
16591,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,"2157,3953407176928"
16591,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,"1658,9578710458134"
16592,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,"1893,9761378096387"
16678,f531c95f-97c3-40a4-9b1d-d79eb6c0a5c0,Zielone,RatherSafe,"678,2339035372656"
16679,f531c95f-97c3-40a4-9b1d-d79eb6c0a5c0,Zielone,RatherSafe,"1771,3486638162854"
16679,f531c95f-97c3-40a4-9b1d-d79eb6c0a5c0,Zielone,RatherSafe,"2379,079036136905"
16679,f531c95f-97c3-40a4-9b1d-d79eb6c0a5c0,Zielone,RatherSafe,"1761,9990304343303"
16680,f531c95f-97c3-40a4-9b1d-d79eb6c0a5c0,Zielone,RatherSafe,"1289,0898388820503"
16680,f531c95f-97c3-40a4-9b1d-d79eb6c0a5c0,Zielone,RatherSafe,"2357,018108585168"
16961,f85b7a52-e05b-4626-9469-d405c19747ae,Starówka,RatherSafe,"422,4542708459385"
17068,267e4952-c95b-42d3-9b67-517e2f89e712,Rzêdzin,Safe,"1428,2816108521463"
17175,222bbedf-7eed-45ff-b3a1-5c0e429a9252,Gumniska-Zab³ocie,RatherSafe,"2130,4904337067364"
17354,30672d39-6076-463e-b0f4-52c501b018db,Legionów Henryka D¹browskiego,RatherSafe,"992,1080798855231"
17398,d5f559ce-3c89-469c-bfa4-474df69b6420,Starówka,RatherSafe,"851,0455876992487"
17430,31cada5d-18bd-41cc-a759-5aff013c4e4d,Piaskówka,RatherSafe,"401,5161566211903"
17855,60ef10d3-e3ad-48d4-ae18-649519702f4d,Klikowa,Safe,"757,1289180932694"
18038,8edac823-f8bd-497b-9e61-9caaf54a2bd1,Strusina,RatherSafe,"897,7632284418081"
18102,9cb773e9-53e6-4f1f-b46f-49ccfa5d2d2a,Zielone,RatherSafe,"744,8864932118472"
18113,b4044a47-0617-4c7d-9d26-ebe3013bd5ef,Krzy¿,NotSafe,"230,52188135680038"
18306,8dc1509c-e58e-4d70-808a-08775b10fa51,Moœcice,RatherSafe,"936,398828214911"
18919,d0d4192a-4e5d-42a4-8aef-2bc335fc9b7c,Krzy¿,NotSafe,"1738,9057027895062"
19147,5b38ed63-d6b6-4cb5-ae37-1355627b5360,Krzy¿,NotSafe,"1144,641589448848"
19322,bdb753c2-6942-42ee-a355-8595e4cb864c,Krakowska,RatherSafe,"852,0462592311507"
19588,c83597a4-aafd-417e-a8bc-4fd83f39cb07,Westerplatte,RatherSafe,"824,5645475168383"
19610,fbf67527-64c3-4794-96e6-76997f49ab55,Legionów Henryka D¹browskiego,RatherSafe,"666,6274925632314"
19667,05c2175e-851a-49a8-814a-c33b1ab4e15e,Piaskówka,RatherSafe,"877,4300100869962"
19711,d4804e6d-54ec-40ce-9590-8023c710d2ed,Strusina,RatherSafe,"599,7614539428383"
19854,1596e1b4-8d40-4f2e-962f-e8af8003f8e2,Legionów Henryka D¹browskiego,RatherSafe,"863,8030790427669"
20157,416108bc-800d-4936-ad62-278846afddab,Strusina,RatherSafe,"277,3790012659837"
20243,42797e31-f243-42ca-8d5d-c38f3247d609,Jasna,RatherSafe,"1174,565850799137"
20276,5b304855-bc1e-49ad-8462-657bee30be28,Piaskówka,RatherSafe,"950,1456540628809"
20386,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,"899,0706712571355"
20387,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,"631,2716228537505"
20387,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,"1093,9248392829247"
20388,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,"1091,262079352479"
20388,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,"407,1372652065026"
20389,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,"1091,8147055904035"
20389,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,"904,8749393348104"
20479,b63fbec8-6744-43d6-8672-f64dcc5c75fb,Zielone,RatherSafe,"671,3212790682517"
20652,68d08737-8234-4991-8692-4d82bbc57f65,Chyszów,RatherSafe,"721,6499656546421"
20930,261eb2bc-59db-4211-9329-40ca5f8d122c,Rzêdzin,Safe,"818,2634239304938"
21039,1f645e8e-4b55-4b65-967d-4c274cc57dfe,Krakowska,RatherSafe,"1054,2376049205857"
21222,dbb5362b-0186-425d-b6c2-6ebab0a4e565,Koszyce,RatherSafe,"228,56693466721111"
21459,3c4ba238-8c38-422d-8465-9ae0bf05003a,Westerplatte,RatherSafe,"630,9194883681363"
21558,1d83e287-cf7f-478b-85c5-8c896b61531e,Chyszów,RatherSafe,"200,44086435219026"
21624,5273861b-de56-4f4a-a49c-ab8767efe1f2,Moœcice,RatherSafe,"1197,2161820131867"
